,New_NO
91556,food
91558,restaurants food
91559,restaurants
91561,safe
91562,quiet
91563,quiet
91568,food
91577,restaurants
91582,quiet
91584,restaurants
91586,restaurants
91593,old restaurants
91602,restaurants
91610,restaurants
91612,food
91613,quiet
91627,restaurants
91631,loud
91644,far far
91650,restaurants
91651,restaurants
91653,restaurants
91654,safe
91663,safe
91669,restaurants restaurants
91671,restaurants
91672,restaurants
91676,restaurants
91680,restaurants
91682,food
91686,transportation
91689,safe quiet quiet food
91694,restaurants restaurants
91696,restaurants
91699,restaurants
91701,far restaurants
91703,quiet restaurants
91707,restaurants
91709,quiet restaurants restaurants
91711,quiet quiet loud
91712,restaurants
91715,restaurants
91717,restaurants
91725,old
91726,restaurants
91728,old
91731,safe
91734,quiet
91735,restaurants
91744,traffic
91745,restaurants quiet
91754,quiet
91755,restaurants
91756,food
91757,safe
91760,transportation
91766,restaurants markets
91768,restaurants
91770,quiet safe
91771,quiet restaurants
91773,quiet quiet
91780,restaurants
91781,restaurants quiet safe
91783,safe
91784,quiet
91785,food
91788,restaurants
91789,quiet
91795,quiet
91799,food food
91800,quiet restaurants
91802,quiet
91803,restaurants
91804,restaurants transportation
91805,restaurants transportation
91806,restaurants
91807,restaurants
91809,food food restaurants
91811,restaurants
91822,restaurants
91823,restaurants
91829,restaurants
91836,quiet restaurants quiet
91841,loud quiet
91842,food
91844,traffic traffic
91847,restaurants
91849,quiet
91851,restaurants
91853,restaurants
91860,restaurants transportation
91861,quiet
91865,restaurants safe
91868,safe
91872,safe
91884,quiet restaurants
91886,food restaurants
91888,restaurants
91895,food
91896,restaurants
91898,restaurants safe quiet far
91904,quiet safe
91905,food
91906,quiet
91907,quiet restaurants
91911,quiet
91915,quiet
91922,quiet
91935,safe
91936,food
91944,restaurants
91945,quiet
91946,restaurants
91947,restaurants
91948,old restaurants safe
91949,restaurants food
91951,quiet safe
91952,quiet food
91954,food
91957,restaurants
91959,old
91963,restaurants quiet
91973,quiet
91977,restaurants
91981,quiet safe restaurants
91982,restaurants quiet quiet food
91988,restaurants
91989,safe
91992,restaurants
91993,quiet
91999,restaurants
92000,quiet restaurants markets restaurants
92003,quiet
92005,restaurants
92010,old restaurants traffic
92015,restaurants
92018,quiet
92023,restaurants
92026,restaurants
92028,restaurants
92030,quiet
92035,restaurants restaurants
92046,quiet restaurants
92053,food
92063,restaurants
92064,restaurants
92065,safe
92076,safe quiet
92077,restaurants
92087,restaurants far
92089,quiet quiet
92094,quiet
92096,quiet traffic
92105,restaurants
92109,restaurants
92119,food restaurants
92133,safe
92135,quiet
92136,quiet far
92139,food
92150,restaurants
92151,quiet
92155,restaurants
92158,food
92162,far quiet
92163,quiet
92168,quiet
92174,quiet
92181,restaurants
92192,quiet
92198,quiet
92210,safe restaurants
92225,restaurants
92232,restaurants
92234,restaurants
92237,food
92238,restaurants
92242,far
92246,quiet
92248,transportation
92252,restaurants
92253,quiet quiet restaurants food
92255,restaurants food
92262,food quiet
92264,quiet
92269,quiet restaurants
92270,safe
92274,restaurants
92277,restaurants
92278,quiet
92279,restaurants restaurants
92285,safe
92297,quiet
92307,quiet
92310,far quiet
92311,restaurants
92315,restaurants
92316,quiet restaurants
92320,markets
92322,restaurants
92325,restaurants markets
92326,quiet
92327,restaurants
92328,quiet
92332,traffic
92338,quiet
92342,food
92346,quiet markets
92348,safe
92351,quiet
92353,restaurants food
92354,food restaurants
92357,restaurants
92359,restaurants
92364,quiet
92370,old
92378,safe
92383,quiet
92384,restaurants restaurants
92396,old far restaurants
92413,safe
92429,transportation old quiet
92443,restaurants
92447,restaurants
92448,food
92475,old
92478,quiet
92494,old old restaurants old old
92500,restaurants restaurants
92501,food
92504,old
92509,food
92526,markets
92533,food
92536,far
92541,restaurants
92543,restaurants food
92547,transportation
92549,restaurants food
92550,food
92552,old
92555,restaurants
92556,markets
92557,restaurants
92562,transportation
92566,quiet restaurants
92568,traffic far restaurants
92570,food
92571,restaurants
92573,restaurants
92579,old old
92582,old
92587,restaurants
92588,restaurants
92600,restaurants
92601,old
92603,food
92606,restaurants restaurants restaurants quiet
92608,food
92609,restaurants
92611,restaurants
92612,quiet
92622,old
92623,quiet quiet
92624,restaurants
92630,traffic restaurants
92632,restaurants
92635,restaurants
92637,restaurants
92639,restaurants
92640,restaurants transportation
92641,far transportation
92646,restaurants
92647,quiet restaurants
92649,restaurants
92650,restaurants
92655,restaurants restaurants quiet
92658,old restaurants
92659,old
92660,safe
92661,restaurants
92663,quiet
92665,old
92667,restaurants
92668,food food
92673,restaurants
92674,restaurants
92675,quiet quiet
92677,restaurants
92686,quiet
92690,restaurants
92691,restaurants old
92704,restaurants
92707,quiet restaurants
92709,quiet restaurants
92710,restaurants
92720,food restaurants
92724,old quiet quiet
92725,quiet
92727,restaurants
92729,restaurants
92738,quiet
92739,restaurants food
92740,restaurants
92743,restaurants
92744,quiet traffic restaurants
92746,food
92748,food
92749,restaurants food
92751,quiet
92752,quiet
92753,far
92760,restaurants
92762,old
92770,quiet restaurants
92773,restaurants
92780,restaurants
92781,food
92783,quiet safe
92787,old
92788,restaurants old
92791,quiet
92795,old restaurants
92801,old
92802,old restaurants quiet
92803,quiet
92804,restaurants
92807,restaurants food
92808,quiet
92809,markets
92810,quiet quiet
92811,safe
92815,restaurants
92824,restaurants food
92826,restaurants
92827,markets
92836,restaurants
92838,restaurants food
92839,restaurants
92844,restaurants
92847,quiet
92850,quiet
92852,quiet
92853,restaurants
92859,quiet restaurants
92860,transportation
92861,restaurants
92869,restaurants
92878,safe food markets
92885,markets
92886,restaurants
92888,restaurants restaurants
92889,markets
92893,restaurants restaurants
92896,restaurants food
92897,restaurants
92898,quiet
92901,far old old
92912,restaurants
92921,old
92928,traffic
92929,quiet
92939,food
92941,food
92951,restaurants
92954,restaurants
92961,restaurants
92962,restaurants
92963,quiet
92966,restaurants
92967,old restaurants
92969,quiet quiet
92970,restaurants food
92981,restaurants
92983,loud
92989,old old restaurants quiet markets restaurants
92991,safe
92998,safe
92999,quiet
93000,restaurants
93007,restaurants
93008,old old restaurants
93023,restaurants
93024,old
93026,restaurants
93028,restaurants restaurants
93030,quiet
93031,quiet
93033,restaurants
93034,transportation
93036,old
93044,restaurants
93045,restaurants transportation
93055,quiet
93058,restaurants
93064,old
93066,quiet old traffic old
93076,old restaurants
93077,quiet
93080,safe quiet
93081,restaurants
93086,food
93088,restaurants food
93089,food
93094,old
93099,safe
93100,safe restaurants
93102,safe quiet
93104,safe safe
93105,restaurants quiet
93107,safe markets
93109,safe
93122,safe
93123,safe
93124,quiet
93127,restaurants
93136,restaurants
93140,quiet
93141,quiet
93144,transportation
93147,safe quiet
93149,safe
93163,quiet
93165,safe
93166,restaurants
93169,traffic
93171,restaurants restaurants
93176,far
93177,traffic
93181,old
93187,traffic
93189,restaurants
93209,restaurants
93211,restaurants
93213,restaurants
93219,food food food
93221,food restaurants
93223,far food restaurants
93233,restaurants
93239,food
93240,restaurants
93247,restaurants markets
93249,old restaurants restaurants food
93252,markets
93256,old
93257,restaurants
93261,restaurants
93263,restaurants
93266,quiet
93268,quiet restaurants
93273,quiet restaurants
93279,quiet restaurants
93280,quiet
93283,restaurants
93285,quiet
93288,food
93292,restaurants quiet
93293,far
93297,old markets restaurants
93298,quiet
93299,quiet
93302,old old quiet
93305,quiet
93306,quiet
93307,restaurants
93313,markets markets restaurants
93314,markets
93316,quiet restaurants
93318,restaurants restaurants food
93320,quiet restaurants
93322,old food restaurants
93323,quiet
93324,restaurants
93330,restaurants
93333,old
93337,restaurants
93338,quiet food restaurants
93339,quiet
93341,restaurants
93342,restaurants
93351,restaurants
93357,quiet far restaurants
93363,markets restaurants
93366,old safe old restaurants
93367,markets restaurants
93375,quiet restaurants
93383,old restaurants
93395,restaurants food
93397,restaurants
93403,quiet
93404,food
93417,restaurants
93426,restaurants
93440,food food
93444,restaurants far
93456,food
93460,quiet old
93466,restaurants
93472,restaurants
93475,food
93476,restaurants
93477,restaurants safe
93484,old
93485,far
93489,restaurants
93492,quiet
93494,safe
93506,quiet
93516,quiet
93521,transportation
93524,quiet restaurants
93532,transportation
93534,food
93543,restaurants
93548,restaurants
93549,safe quiet
93555,safe
93556,quiet
93575,restaurants
93578,restaurants
93583,restaurants
93597,restaurants
93607,restaurants
93608,safe
93609,restaurants
93614,restaurants
93620,restaurants restaurants restaurants
93622,restaurants
93624,restaurants
93630,restaurants
93632,transportation
93635,restaurants
93637,old far
93639,transportation restaurants
93641,restaurants food
93642,restaurants
93643,restaurants
93668,old old restaurants
93669,restaurants
93676,restaurants
93678,food
93683,restaurants
93691,safe
93695,restaurants
93700,restaurants
93701,transportation
93705,restaurants
93717,restaurants
93726,restaurants
93727,restaurants restaurants
93730,restaurants
93732,restaurants
93734,quiet old
93753,food
93754,quiet
93765,restaurants
93766,far old
93770,old
93773,transportation
93775,restaurants
93781,restaurants restaurants
93783,restaurants
93786,quiet restaurants
93788,transportation
93791,restaurants
93797,restaurants
93798,restaurants
93799,restaurants
93819,food
93824,quiet safe
93825,quiet
93827,quiet
93833,quiet safe
93835,restaurants
93839,food
93841,restaurants
93842,restaurants
93852,restaurants
93855,restaurants
93862,far quiet
93867,restaurants
93874,restaurants
93876,restaurants
93877,quiet restaurants
93878,restaurants
93886,restaurants
93887,restaurants quiet restaurants
93888,restaurants
93889,restaurants
93894,markets
93904,restaurants
93910,food
93912,markets
93922,restaurants
93928,restaurants
93929,restaurants
93930,restaurants
93931,restaurants
93945,restaurants
93946,food
93949,restaurants
93961,restaurants
93965,safe food safe
93973,restaurants
93977,restaurants
93982,restaurants
93992,restaurants
93996,restaurants
94007,quiet
94008,quiet restaurants
94011,restaurants
94024,restaurants
94025,quiet
94026,restaurants
94030,restaurants food
94033,safe
94034,safe
94046,quiet
94047,transportation
94049,restaurants restaurants
94052,food markets restaurants
94053,restaurants
94059,restaurants food
94061,restaurants
94062,safe
94065,old
94067,quiet safe restaurants
94068,food
94071,restaurants
94072,restaurants
94096,restaurants
94097,transportation
94106,quiet
94108,restaurants
94110,far
94113,restaurants
94123,restaurants
94128,restaurants
94130,food
94134,restaurants restaurants
94141,restaurants
94151,safe
94159,restaurants
94160,restaurants
94167,restaurants
94174,restaurants
94175,restaurants
94176,restaurants
94177,restaurants
94179,restaurants transportation
94181,quiet restaurants food restaurants
94185,restaurants
94190,restaurants quiet
94192,restaurants
94195,restaurants
94197,food
94201,quiet
94204,quiet restaurants restaurants
94205,restaurants
94206,restaurants markets
94207,restaurants
94210,restaurants
94211,far
94213,restaurants
94217,restaurants
94220,restaurants safe
94223,food transportation
94226,restaurants
94230,restaurants
94232,restaurants
94235,old
94240,restaurants
94249,restaurants
94250,quiet
94255,restaurants
94262,quiet
94268,restaurants
94269,food
94272,restaurants
94275,restaurants
94285,restaurants
94286,restaurants
94291,restaurants restaurants
94295,restaurants restaurants
94302,quiet restaurants
94313,food old
94314,restaurants restaurants
94326,safe restaurants restaurants
94327,restaurants
94332,restaurants
94335,food
94341,restaurants markets
94349,food
94352,restaurants
94357,restaurants restaurants
94361,restaurants
94368,restaurants
94369,restaurants
94372,safe
94377,restaurants
94379,restaurants
94385,restaurants
94391,restaurants
94397,restaurants
94412,quiet
94415,restaurants
94416,restaurants
94417,restaurants
94423,restaurants restaurants
94427,restaurants
94436,restaurants
94448,restaurants
94451,restaurants
94453,restaurants
94468,food
94472,restaurants far
94474,restaurants
94479,quiet
94490,restaurants
94498,food
94508,quiet restaurants
94516,food
94524,restaurants
94531,food
94534,restaurants
94536,food
94541,restaurants
94542,quiet
94551,restaurants
94557,restaurants
94564,restaurants
94568,quiet
94572,quiet
94580,restaurants
94582,restaurants
94588,quiet
94589,restaurants
94606,restaurants
94608,restaurants
94611,restaurants restaurants
94618,food old
94622,markets
94624,restaurants food
94640,food
94650,restaurants
94658,restaurants
94662,quiet restaurants
94663,food
94671,restaurants
94677,restaurants
94678,quiet
94680,restaurants food markets
94682,restaurants
94683,safe restaurants food food old
94687,quiet restaurants
94689,quiet restaurants
94693,markets restaurants
94694,far restaurants
94710,restaurants
94718,restaurants
94720,restaurants
94721,restaurants
94724,food
94725,restaurants
94730,safe
94731,restaurants
94734,restaurants
94736,quiet
94738,quiet
94750,restaurants food
94751,food
94763,quiet
94772,restaurants
94775,restaurants
94776,restaurants
